,,,,,,,FIXEALA,,
Listado de incidencias barriales de la República Argentina,,,,,,,,,
ID,,FECHA,ASUNTO,DIRECCIÓN,CIUDAD,PROVINCIA,,,ESTADO
,,,,,,,,,REABIERTO
1011,,11/12/2013,El asfalto está roto,Avenida de Los ,Buenos Aires,Ciudad Autónoma de Buenos Aires,,,
,,,,,,,,,ABIERTO
3529,,12/11/2013,sdfsdfs,Ancaste 3222-3400,Buenos Aires,Ciudad Autónoma de Buenos Aires,,,
,,,,,,,,,ABIERTO
17324,,12/11/2013,sdfdffd,Honduras 5501-5599,Buenos Aires,Ciudad Autónoma de Buenos Aires,,,
,,,,,,,,,ABIERTO
18865,,12/11/2013,asdfasd,Lugones 2202-2300,Buenos Aires,Ciudad Autónoma de Buenos Aires,,,
,,,,,,,,,ABIERTO
22085,,12/11/2013,sdfsdfs,Ancaste 3222-3400,Buenos Aires,Ciudad Autónoma de Buenos Aires,,,
,,,,,,,,,ABIERTO
48898,,12/11/2013,un reclamo con tags,Gral. Heredia 602-700,Gerli,Buenos Aires,,,
,,,,,,,,,RESUELTO
82621,,19/12/2013,sfsdf,Bogotá 2401-2499,Buenos Aires,Ciudad Autónoma de Buenos Aires,,,
Creado:,27/12/2013 11.51 AM,,,,,Página 1 de,,1,
